Time,Inertial_X_Position,Inertial_Y_Position,Inertial_Z_Position,Body_U_Vel,Body_V_Vel,Body_W_Vel,Body_P_Vel,Body_Q_Vel,Body_R_Vel,Roll_Angle,Pitch_Angle,Yaw_Angle,Phase,Inertial_Vx,Inertial_Vy,Inertial_Vz,Eul_Phi_Dot,Eul_Theta_Dot,Eul_Psi_Dot,delta_R,delta_L,delta_s,delta_a,GAMMA_deg,Wind_X,Wind_Y,Wind_Z
252.55,308.741090644982,9.67989194422765,-556.593437791309,3.45647568849208,-4.73262287899091,-0.144352300484167,0.0832805973519089,-0.175394983332783,0.255701175830328,-2.82101688197981,-31.1983038619765,3256.60514723187,2,4.14210098353027,-3.70478651763804,1.86637011000096,-0.0766070773183583,-0.162597805691223,0.308662458998797,0,1,0,-1,7,0,0,0
252.6,308.949985821755,9.49627650588472,-556.498859732478,3.496247662927,-4.73612624254333,-0.154063524770953,0.0841947031094326,-0.154508571326308,0.251432243390938,-3.03922218307424,-31.6336682835072,3257.48362761812,2,4.21394025935851,-3.63977248011292,1.9165434665212,-0.0755197095473414,-0.140960423565169,0.304515885018373,0,1,0,-1,7,0,0,0
252.65,309.162507021946,9.31592065096317,-556.401809878141,3.53792886894929,-4.74067094393025,-0.162971314822855,0.085649224780316,-0.131403045659901,0.247071896599981,-3.25250800800909,-32.0038904009876,3258.34923188486,2,4.28711857211176,-3.57440042562779,1.96513034574062,-0.0731723539221861,-0.1171733878388,0.299676448093844,0,1,0,-1,7,0,0,0
252.7,309.378717605542,9.1388427020946,-556.302384380681,3.58104130887672,-4.74617176462878,-0.170882593984436,0.0876277711206856,-0.106409433557289,0.242674052737804,-3.45727994271557,-32.3032952594848,3259.20001772639,2,4.36149019034431,-3.508653337353,2.01145698785229,-0.0695818346733319,-0.09158148180673,0.294179121907329,0,1,0,-1,7,0,0,0
252.75,309.598673300995,8.96506184246435,-556.200713079908,3.62508858451498,-4.75252947471273,-0.177624311142412,0.0901037887378293,-0.0799026357645297,0.238296642836497,-3.65004609284316,-32.5272555386025,3260.03418902418,2,4.43689485007266,-3.44251407104768,2.05485157846993,-0.0648030951316447,-0.0645700551395191,0.28809125609552,0,1,0,-1,7,0,0,0
252.8,309.822421361377,8.79459807995562,-556.096959105865,3.66955982587898,-4.75963362510749,-0.183050524444693,0.0930409520239657,-0.0522936315004373,0.234000808321983,-3.82752676214802,-32.6722961574215,3260.850189666,2,4.51315295383662,-3.37596710375116,2.09465643605919,-0.058929100906803,-0.036556672303046,0.281512892935214,0,1,0,-1,7,0,0,0
252.85,310.049999467447,8.6274721154334,-555.991317845785,3.71393389157696,-4.76736555749171,-0.187048475917312,0.0963939254343643,-0.0240200861397659,0.229849812294851,-3.98676007754858,-32.7361729727226,3261.64679447507,2,4.59006032606556,-3.30900060781734,2.13024121231578,-0.0520880859745812,-0.00798143336383558,0.274574407371927,0,1,0,-1,7,0,0,0
252.9,310.281434367971,8.46370510102632,-555.884015232155,3.75768398609978,-4.77560150859171,-0.189543223225176,0.10010947597643,0.00446431200362334,0.225907689683406,-4.1251959272703,-32.7179222888269,3262.42318951996,2,4.66738303993092,-3.24160875747834,2.16101678932155,-0.0444381827528963,0.0207036560612037,0.267431483953533,0,1,0,-1,7,0,0,0
252.95,310.516740275244,8.30331828004556,-555.775305326614,3.800282809955,-4.78421567876886,-0.190500484483817,0.104127886240682,0.0327013572897704,0.222237687581666,-4.2407711832773,-32.6178790734736,3263.17903460447,2,4.74485289913559,-3.17379413024566,2.18644947702633,-0.0361598167345467,0.0490458257074842,0.260257785929598,0,1,0,-1,7,0,0,0
253,310.755917063698,8.14633250805112,-555.665467196184,3.84120830646643,-4.79308313481498,-0.189927476941974,0.108384593892148,0.0602401668584339,0.218900571380091,-4.33196072024364,-32.4376630923619,3263.91450221063,2,4.8221641786241,-3.10557002774051,2.20607503829908,-0.0274465495736367,0.076602716906097,0.253235979180466,0,1,0,-1,7,0,0,0
253.05,310.998948348994,7.99276766403225,-555.554801103669,3.87995000059043,-4.80208242476248,-0.187871679453941,0.112811965579911,0.0866488006270411,0.215952890290874,-4.39780102804419,-32.1801335530998,3264.63028940099,2,4.89897219134076,-3.03696251573244,2.21951200396421,-0.0184952614951965,0.102953112367724,0.246547987237859,0,1,0,-1,7,0,0,0
253.1,311.245799551153,7.84264197093725,-555.443624062116,3.91601584937379,-4.81109779871798,-0.184417607663628,0.117341104248565,0.111525099899067,0.213445304789851,-4.43788590226301,-31.8493142042356,3265.32760184418,2,4.97489415020649,-2.96801197621102,2.22647369593744,-0.00949663361037723,0.127706759928974,0.24036543274345,0,1,0,-1,7,0,0,0
253.15,311.496416065102,7.69597125488396,-555.332264832871,3.94893945088382,-4.8200209538515,-0.17968184380345,0.121903590065249,0.134506220058427,0.211421076881527,-4.45233637113402,-31.4502920877599,3266.00811180358,2,5.04951263922675,-2.89877397844854,2.22677836244779,-0.000626812510517577,0.150512879440312,0.234841154106592,0,1,0,-1,7,0,0,0
253.2,311.750721672805,7.55276818122424,-555.221058476067,3.97828739816759,-4.82875225237995,-0.17380669428634,0.1264330662517,0.155276411779605,0.209914812096408,-4.44174927760477,-30.9890942216014,3266.67389422506,2,5.12238180689674,-2.82931931194014,2.22035685413813,0.00795906502657331,0.171067014621224,0.230102494266127,0,1,0,-1,7,0,0,0
253.25,312.008617331223,7.41304151217513,-555.110340589434,4.00366652447367,-4.83720139642177,-0.166952944360637,0.130866600181726,0.173572720290056,0.208951521480093,-4.40713048207086,-30.4725473283506,3267.32734667924,2,5.1930361678299,-2.75973307958751,2.20725733964291,0.0161310937336903,0.189115984901094,0.226246786170572,0,1,0,-1,7,0,0,0
253.3,312.269980458851,7.27679543410895,-555.000441393654,4.02473076981042,-4.84528758002937,-0.159292230498758,0.13514577422633,0.189188413191496,0.208546045468497,-4.34981933810258,-29.9081262750446,3267.971099704,2,5.26100166878695,-2.69011281938331,2.1876466756205,0.0237864808069061,0.20446080143412,0.22333916287623,0,1,0,-1,7,0,0,0
253.35,312.534664821051,7.14402900227015,-554.891679837924,4.04118740750958,-4.85293917327058,-0.15099955364484,0.139217486567667,0.201974100847088,0.208702853015421,-4.27141093722772,-29.3037971092443,3268.60792406284,2,5.32580846875268,-2.62056569971984,2.1618082049278,0.0308492731557772,0.216957530227511,0.221412551643825,0,1,0,-1,7,0,0,0
253.4,312.802501082709,7.0147357465253,-554.78435790607,4.05280240006059,-4.86009302279893,-0.142246411506249,0.143034466285839,0.211836664672573,0.209416202157494,-4.17368177186642,-28.6678604529472,3269.24064072313,2,5.38700472307395,-2.55120490862648,2.13013594720179,0.0372683212096905,0.226516205266229,0.220469509052216,0,1,0,-1,7,0,0,0
253.45,313.073298058508,6.8889034740551,-554.678755300169,4.05940470081455,-4.86669347535827,-0.13319494281175,0.146555526875697,0.218736243656696,0.210670625265156,-4.05852316208349,-28.0088005585083,3269.87203818555,2,5.44417056696486,-2.48214542217715,2.09312535263399,0.043013983769661,0.233098005851404,0.22048543592612,0,1,0,-1,7,0,0,0
253.5,313.346844650128,6.76651429436215,-554.575124665004,4.06088937557943,-4.87269124343041,-0.12399336235906,0.14974559642374,0.222681636230855,0.212441685452875,-3.92788528829715,-27.3351445787356,3270.50480040595,2,5.49693147355696,-2.41349938488558,2.05136099275145,0.0480741056221552,0.236711005155733,0.221412675591278,0,1,0,-1,7,0,0,0
253.55,313.622912419447,6.64754487959141,-554.473687493339,4.05721947878216,-4.87804223513858,-0.114772836884406,0.152575570510185,0.223724545100841,0.214696940813191,-3.78373319653533,-26.6553356224312,3271.14144716124,2,5.54497021610704,-2.34537136051348,2.00550174137561,0.0524497564910867,0.237404862804108,0.223185031364272,0,1,0,-1,7,0,0,0
253.6,313.901258711078,6.53196696008988,-554.374630820705,4.04842667666367,-4.8827064640007,-0.105645823045578,0.155022035985306,0.221953123284941,0.21739705008409,-3.62801486328354,-25.9776220427896,3271.78428748466,2,5.58803678364361,-2.27785371383534,1.95626413678105,0.0561511304630846,0.235264867685272,0.225722316825387,0,1,0,-1,7,0,0,0
253.65,314.181630209086,6.4197480425163,-554.278104781502,4.03461066021611,-4.88664713951382,-0.0967057734187295,0.157066911243725,0.217485271459548,0.220496956068583,-3.46264042006652,-25.309964235184,3272.43538582879,2,5.6259557674848,-2.21102236412335,1.9044046996139,0.0591938940571992,0.23040573670903,0.22893465207807,0,1,0,-1,7,0,0,0
253.7,314.463766793395,6.31085232664891,-554.184221058652,4.0159374302755,-4.88983001879749,-0.0880280245895301,0.158697042943354,0.210462094949658,0.223947090146643,-3.28947097425881,-24.6599590972443,3273.09653994051,2,5.65863093150138,-2.14493311361437,1.85070200435143,0.0615961593569429,0.222965543447965,0.232726321295986,0,1,0,-1,7,0,0,0
